Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic Mean,p-value Mean,T-Statistic Median,p-value Median,Significance Mean,p-value < 0.05 Count,Super_Significance Mean,p-value < 0.01 Count,Significance Median
fr_ArN,0.14785714285714285,0.041666666666666664,0.0,0.0,6.147980841286572,9.449932622515026e-10,6.147980841286572,9.449932622515026e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_COO,0.008571428571428572,0.041666666666666664,0.0,0.0,-4.927464909698345,9.016178243603651e-07,-4.927464909698345,9.016178243603651e-07,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_N,1.865,0.7583333333333333,2.0,0.0,15.643839567028278,3.977459838010159e-52,15.643839567028278,3.977459838010159e-52,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_NH,0.15142857142857144,0.043333333333333335,0.0,0.0,6.381567007407098,2.1726921326040359e-10,6.381567007407098,2.1726921326040359e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_OH,0.03571428571428571,0.08166666666666667,0.0,0.0,-3.888151876323232,0.00010430979219039353,-3.888151876323232,0.00010430979219039353,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_COO,0.024285714285714285,0.11166666666666666,0.0,0.0,-7.823140476748424,8.278868419267012e-15,-7.823140476748424,8.278868419267012e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_COO2,0.024285714285714285,0.11166666666666666,0.0,0.0,-7.823140476748424,8.278868419267012e-15,-7.823140476748424,8.278868419267012e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_C_O,0.5485714285714286,1.4083333333333334,0.0,1.0,-20.324292339732008,1.2579942806713248e-83,-20.324292339732008,1.2579942806713248e-83,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_C_O_noCOO,0.5485714285714286,1.4083333333333334,0.0,1.0,-20.324292339732008,1.2579942806713248e-83,-20.324292339732008,1.2579942806713248e-83,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_C_S,0.013571428571428571,0.07,0.0,0.0,-6.684409837682752,2.998292511725534e-11,-6.684409837682752,2.998292511725534e-11,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_HOCCN,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_Imine,0.013571428571428571,0.03166666666666667,0.0,0.0,-2.6495592545869076,0.00812321251625051,-2.6495592545869076,0.00812321251625051,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_NH0,2.0957142857142856,1.59,2.0,1.0,7.372618327939699,2.4378038967482794e-13,7.372618327939699,2.4378038967482794e-13,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_NH1,0.7464285714285714,0.8766666666666667,1.0,1.0,-3.3800769725912785,0.0007385920648752255,-3.3800769725912785,0.0007385920648752255,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_NH2,0.18785714285714286,0.06333333333333334,0.0,0.0,6.445743039034537,1.4380654862679486e-10,6.445743039034537,1.4380654862679486e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_N_O,0.005714285714285714,0.006666666666666667,0.0,0.0,-0.18631050770540417,0.8522201814463882,-0.18631050770540417,0.8522201814463882,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_Ndealkylation1,0.020714285714285713,0.028333333333333332,0.0,0.0,-0.9594512816256283,0.33744753890488277,-0.9594512816256283,0.33744753890488277,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_Ndealkylation2,0.035,0.09333333333333334,0.0,0.0,-5.140555456692548,3.0065061453033346e-07,-5.140555456692548,3.0065061453033346e-07,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Nhpyrrole,0.15142857142857144,0.043333333333333335,0.0,0.0,6.381567007407098,2.1726921326040359e-10,6.381567007407098,2.1726921326040359e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_SH,0.0,0.021666666666666667,0.0,0.0,-5.565438493219182,2.9672980756914188e-08,-5.565438493219182,2.9672980756914188e-08,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_aldehyde,0.0014285714285714286,0.013333333333333334,0.0,0.0,-3.467643961845595,0.0005361560785927901,-3.467643961845595,0.0005361560785927901,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_alkyl_carbamate,0.0064285714285714285,0.006666666666666667,0.0,0.0,-0.056474778358394234,0.9549692342025722,-0.056474778358394234,0.9549692342025722,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_alkyl_halide,0.2507142857142857,0.075,0.0,0.0,4.566248472993957,5.267719246167583e-06,4.566248472993957,5.267719246167583e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_allylic_oxid,0.04,0.255,0.0,0.0,-9.850750670461204,2.1811017001973323e-22,-9.850750670461204,2.1811017001973323e-22,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_amide,0.43214285714285716,0.9016666666666666,0.0,1.0,-12.065619426129011,2.0853388076031535e-32,-12.065619426129011,2.0853388076031535e-32,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_amidine,0.016428571428571428,0.043333333333333335,0.0,0.0,-3.4345275227752694,0.000605707924378321,-3.4345275227752694,0.000605707924378321,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_aniline,0.5757142857142857,0.5866666666666667,0.0,0.0,-0.29906419867085,0.7649221651140805,-0.29906419867085,0.7649221651140805,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_aryl_methyl,0.29285714285714287,0.48833333333333334,0.0,0.0,-6.03003254941466,1.9476380770417054e-09,-6.03003254941466,1.9476380770417054e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_azide,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_azo,0.0,0.0033333333333333335,0.0,0.0,-2.162774138287248,0.030676842571632845,-2.162774138287248,0.030676842571632845,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,nope,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_barbitur,0.002142857142857143,0.005,0.0,0.0,-1.0704234917138649,0.2845580200217736,-1.0704234917138649,0.2845580200217736,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_benzene,1.2457142857142858,1.2083333333333333,1.0,1.0,1.0515531048764568,0.2931317943633687,1.0515531048764568,0.2931317943633687,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_benzodiazepine,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_bicyclic,0.5471428571428572,0.565,0.0,0.0,-0.4007290084718395,0.6886624970264492,-0.4007290084718395,0.6886624970264492,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_diazo,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_dihydropyridine,0.0,0.0016666666666666668,0.0,0.0,-1.5280351716533498,0.1266620924047765,-1.5280351716533498,0.1266620924047765,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_epoxide,0.0,0.008333333333333333,0.0,0.0,-2.8939333612578566,0.0038457313947494994,-2.8939333612578566,0.0038457313947494994,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_ester,0.07428571428571429,0.21333333333333335,0.0,0.0,-8.072620023936558,1.1760336731298934e-15,-8.072620023936558,1.1760336731298934e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_ether,0.4735714285714286,0.72,0.0,0.0,-6.1668578975932995,8.407071647055807e-10,-6.1668578975932995,8.407071647055807e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_furan,0.05928571428571429,0.10833333333333334,0.0,0.0,-3.5740455082511615,0.0003598448573024026,-3.5740455082511615,0.0003598448573024026,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_guanido,0.004285714285714286,0.0016666666666666668,0.0,0.0,0.9085897077105192,0.36367632090598856,0.9085897077105192,0.36367632090598856,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_halogen,0.7085714285714285,0.31,0.0,0.0,8.049432492380777,1.4132313836409743e-15,8.049432492380777,1.4132313836409743e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_hdrzine,0.024285714285714285,0.03,0.0,0.0,-0.7356343404555452,0.4620396035994363,-0.7356343404555452,0.4620396035994363,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_hdrzone,0.023571428571428573,0.11166666666666666,0.0,0.0,-8.335108224115562,1.4211087228198924e-16,-8.335108224115562,1.4211087228198924e-16,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_imidazole,0.11285714285714285,0.02666666666666667,0.0,0.0,6.132894649710196,1.0373176817658795e-09,6.132894649710196,1.0373176817658795e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_imide,0.027857142857142858,0.09833333333333333,0.0,0.0,-6.238008132392863,5.394506806891153e-10,-6.238008132392863,5.394506806891153e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_isocyan,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_isothiocyan,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_ketone,0.039285714285714285,0.19,0.0,0.0,-9.545912933420466,3.781424009168405e-21,-9.545912933420466,3.781424009168405e-21,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_ketone_Topliss,0.03428571428571429,0.155,0.0,0.0,-8.40880392186189,7.765462272341916e-17,-8.40880392186189,7.765462272341916e-17,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_lactam,0.0007142857142857143,0.0016666666666666668,0.0,0.0,-0.6172722493336128,0.5371255051346328,-0.6172722493336128,0.5371255051346328,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_lactone,0.004285714285714286,0.011666666666666667,0.0,0.0,-1.7520611122268177,0.07991669923110782,-1.7520611122268177,0.07991669923110782,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_methoxy,0.13714285714285715,0.26666666666666666,0.0,0.0,-5.574706179363503,2.815878120887118e-08,-5.574706179363503,2.815878120887118e-08,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_morpholine,0.027857142857142858,0.04833333333333333,0.0,0.0,-2.282870980110818,0.022542585484115658,-2.282870980110818,0.022542585484115658,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,nope,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_nitrile,0.08785714285714286,0.04,0.0,0.0,3.350230566844323,0.0008224657875675863,3.350230566844323,0.0008224657875675863,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_nitro,0.03642857142857143,0.125,0.0,0.0,-7.150122902377959,1.210914228317508e-12,-7.150122902377959,1.210914228317508e-12,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_nitro_arom,0.025714285714285714,0.09666666666666666,0.0,0.0,-6.583535507594373,5.85369109046212e-11,-6.583535507594373,5.85369109046212e-11,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_nitro_arom_nonortho,0.017142857142857144,0.04833333333333333,0.0,0.0,-3.778297029988807,0.00016252788075194364,-3.778297029988807,0.00016252788075194364,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_nitroso,0.0007142857142857143,0.0016666666666666668,0.0,0.0,-0.6172722493336128,0.5371255051346328,-0.6172722493336128,0.5371255051346328,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_oxazole,0.029285714285714286,0.0033333333333333335,0.0,0.0,3.369124885082962,0.0007684001088240717,3.369124885082962,0.0007684001088240717,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_oxime,0.0035714285714285713,0.0033333333333333335,0.0,0.0,0.0825821463885514,0.9341920699669184,0.0825821463885514,0.9341920699669184,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_para_hydroxylation,0.39071428571428574,0.235,0.0,0.0,4.816319908838203,1.572241948359194e-06,4.816319908838203,1.572241948359194e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_phenol,0.017142857142857144,0.055,0.0,0.0,-4.181763157972422,3.017593411966867e-05,-4.181763157972422,3.017593411966867e-05,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_phenol_noOrthoHbond,0.017142857142857144,0.05333333333333334,0.0,0.0,-4.023830467109355,5.9392391409548276e-05,-4.023830467109355,5.9392391409548276e-05,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_phos_acid,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_phos_ester,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_piperdine,0.047142857142857146,0.12,0.0,0.0,-5.4814980595045775,4.7513387875144566e-08,-5.4814980595045775,4.7513387875144566e-08,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_piperzine,0.03642857142857143,0.051666666666666666,0.0,0.0,-1.575093378174186,0.11539320912158069,-1.575093378174186,0.11539320912158069,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_priamide,0.007142857142857143,0.005,0.0,0.0,0.5462512221487359,0.5849542498916189,0.5462512221487359,0.5849542498916189,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_prisulfonamd,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_pyridine,0.22642857142857142,0.08333333333333333,0.0,0.0,6.8606953509188555,9.107543673119196e-12,6.8606953509188555,9.107543673119196e-12,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_quatN,0.12285714285714286,0.09333333333333334,0.0,0.0,1.704917230752166,0.08836531722417448,1.704917230752166,0.08836531722417448,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_sulfide,0.185,0.15333333333333332,0.0,0.0,1.6665523164668232,0.09576019586476334,1.6665523164668232,0.09576019586476334,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_sulfonamd,0.055714285714285716,0.13833333333333334,0.0,0.0,-5.961519102727715,2.9470702579542307e-09,-5.961519102727715,2.9470702579542307e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_sulfone,0.012142857142857143,0.03833333333333333,0.0,0.0,-3.7509470374898513,0.00018118542794991278,-3.7509470374898513,0.00018118542794991278,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_term_acetylene,0.007142857142857143,0.0,0.0,0.0,2.076591008318041,0.03796687031925499,2.076591008318041,0.03796687031925499,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,nope,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_tetrazole,0.027142857142857142,0.03166666666666667,0.0,0.0,-0.5471368788326946,0.5843458015096387,-0.5471368788326946,0.5843458015096387,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_thiazole,0.04357142857142857,0.03666666666666667,0.0,0.0,0.709235804144598,0.47826090841145796,0.709235804144598,0.47826090841145796,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_thiocyan,0.0,0.0016666666666666668,0.0,0.0,-1.5280351716533502,0.12666209240477644,-1.5280351716533502,0.12666209240477644,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_thiophene,0.07214285714285715,0.115,0.0,0.0,-3.077138085427419,0.002118352172465079,-3.077138085427419,0.002118352172465079,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_unbrch_alkane,0.155,0.07,0.0,0.0,2.5777614508710966,0.010015320863498394,2.5777614508710966,0.010015320863498394,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,nope,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_urea,0.02642857142857143,0.03333333333333333,0.0,0.0,-0.8351868538109317,0.4037123658176669,-0.8351868538109317,0.4037123658176669,"nope, deze niet",127,nope,127,"nope, deze niet"
